date,obs_cases,obs_deaths,fit_cases,fit_deaths,S,E,I,R,D
2025-06-12,0.0,0.0,0.01973667191972044,9.775115558461498e-14,62.15357750843725,0.04934167979930108,0.03691175015361776,0.0,0.0
2025-06-13,0.017454398459651403,0.0,0.022567803101989074,1.1183807090085474e-13,62.12537917087371,0.05641950775497267,0.04223110106541456,0.015801158695978985,1.0463929220499334e-13
2025-06-14,0.09037019346982965,0.0,0.025804539403119667,1.279243560467337e-13,62.09313712576052,0.06451134850779915,0.048305432715545875,0.03387703140608288,2.2434231922757198e-13
2025-06-15,0.1489283578395973,0.0,0.029501893528952026,1.4629887418937736e-13,62.05628141769515,0.07375473382238004,0.05524382253629114,0.0545509643359927,3.6125036189091023e-13
2025-06-16,0.18865156939945235,0.0,0.03372315241748229,1.6728496090965758e-13,62.01416226737251,0.0843078810437057,0.06316836506561811,0.07819242490782216,5.178101274451933e-13
2025-06-17,0.21160701756404401,0.0,0.03854029521515527,1.9124751787092766e-13,61.96604058555568,0.09635073803788814,0.07221685058281077,0.10522276421310092,6.96811909997061e-13
2025-06-18,0.2214980196489099,0.0,0.044034768095814726,2.1859914305388327e-13,61.91107697654528,0.11008692023953678,0.08254507994245996,0.13612196166199603,9.014342552923785e-13
2025-06-19,0.22202789295988623,0.0,0.05029843495723543,2.4980615917174513e-13,61.848319429185594,0.12574608739308854,0.09432914096039167,0.1714362808499686,1.1352946598126507e-12
2025-06-20,0.22202789295988623,0.0,0.05743462500469086,2.8539485072219055e-13,61.776689762455106,0.1435865625117271,0.10776776358278206,0.21178684983915352,1.4025063915808741e-12
2025-06-21,0.22202789295988623,0.0,0.06555923065784244,3.2595799645373693e-13,61.694968869510774,0.16389807664460604,0.12308478660653113,0.2578792056265582,1.707741696057761e-12
2025-06-22,0.22202789295988623,0.0,0.0748018149424721,3.72161671296202e-13,61.60178083000195,0.18700453735618017,0.14053172615179096,0.3105138448781991,2.0563016657869704e-12
2025-06-23,0.22202789295988623,0.0,0.08530668733091863,4.247521819056488e-13,61.495576008985196,0.21326671832729652,0.16039039458857218,0.37059781648665907,2.454193009260034e-12
2025-06-24,0.22202789295988623,0.0,0.09723388235464368,4.845629791419197e-13,61.37461336211217,0.24308470588660913,0.18297551075288068,0.43915735963560554,2.908211743394328e-12
2025-06-25,0.22202789295988623,0.0,0.11075996908720759,5.525212402450967e-13,61.236942263999616,0.2768999227180189,0.20863718543808096,0.5173515662310324,3.426033669628045e-12
2025-06-26,0.22356264442916857,0.0,0.12607858881506245,6.296537399991679e-13,61.080384336245295,0.31519647203765605,0.23776313840118193,0.6064869917020247,4.0163111303593946e-12
2025-06-27,0.23377875406489088,0.0,0.14340057920204843,7.17091548129143e-13,60.90251595520403,0.35850144800512096,0.27078047214390016,0.7080330630324364,4.6887750448516934e-12
2025-06-28,0.2439910546381725,0.0,0.16295354188831757,8.160727671538455e-13,60.700652307153796,0.4073838547207938,0.3081567057514686,0.8236380707586668,5.454340812310499e-12
2025-06-29,0.2531083562369329,0.0,0.1849806160061669,9.279426124590597e-13,60.47183422111973,0.46245154001541705,0.3503998051290052,0.9551453721197021,6.325215613264766e-12
2025-06-30,0.2600394689507084,0.0,0.20973823782718568,1.0541496203191213e-12,60.21281925666656,0.524345594567964,0.39805675111501737,1.1046093360333145,7.315004001255135e-12
2025-07-01,0.24719092591516933,0.0,0.2374925867451264,1.1962367099951378e-12,59.92007895555501,0.5937314668628159,0.4517101644461357,1.27431035151778,8.438807292420228e-12
