param,prior_value,fit_value,delta_pct
β,0.7249999999999995,0.7249999999999995,0.0
σ,0.1753999999999998,0.1753999999999998,0.0
γ,0.24749999999999955,0.24749999999999955,0.0
μ,0.002500000000000002,0.0025000000000000005,-5.2041704279304175e-14
E0,0.0,0.0,NaN
I0,0.0,0.0,NaN
R0,2.9292929292929326,2.9292929292929326,0.0
