date,total,daily,deaths_total,deaths_daily,daily_ma7,total_interp,daily_interp,daily_interp_smooth,daily_interp_sg,daily_interp_gauss,daily_interp_deriv_smooth,daily_interp_deriv_smooth_sign,wave
2020-04-15,27,0,3,0,0.0,27.0,0.0,0.0,3.1575026562349127,10.285718091670594,0.8766817483259772,1.0,1
2020-04-16,32,5,5,0,2.5,32.0,5.0,2.5,4.476805205709491,10.504066241451468,0.8513299479415641,1.0,1
2020-04-17,42,5,5,0,3.3333333333333335,42.0,10.0,5.0,5.953671360708196,10.711075049437305,0.8302102496429886,1.0,1
2020-04-18,44,2,5,0,3.0,44.0,2.0,4.25,6.24457048340917,10.936483437910102,0.8362612630560622,1.0,1
2020-04-19,52,8,6,0,4.0,52.0,8.0,5.0,6.6181464178575435,11.204091637440477,0.8295523981638554,1.0,1
2020-04-20,58,6,6,0,4.333333333333333,58.0,6.0,5.166666666666667,7.449993069921925,11.464645312592452,0.8015968213552537,1.0,1
2020-04-21,62,4,6,0,4.285714285714286,62.0,4.0,5.0,8.555624802127923,11.723740654056844,0.7913292436526062,1.0,1
2020-04-22,66,4,6,0,4.857142857142857,66.0,4.0,4.875,9.944626346594285,12.010871986917621,0.7826299114461174,1.0,1
2020-04-23,72,6,6,0,5.0,72.0,6.0,5.0,10.825613426035117,12.300045507904963,0.7677589706861885,1.0,1
2020-04-24,93,12,8,2,6.0,93.0,21.0,6.6,12.255926620172566,12.603753745491797,0.7643739507087949,1.0,1
2020-04-25,110,17,8,0,8.142857142857142,110.0,17.0,7.545454545454546,13.477237252570317,12.93190801918539,0.762843839953516,1.0,1
2020-04-26,124,14,8,0,9.0,124.0,14.0,8.083333333333334,14.433959790496294,13.27754831676236,0.7688434510820289,1.0,1
2020-04-27,128,4,8,0,8.714285714285714,128.0,4.0,7.769230769230769,15.418137202603225,13.661161821177966,0.7764507303017295,1.0,1
2020-04-28,142,14,9,1,10.142857142857142,142.0,14.0,8.214285714285714,16.689870329202833,14.064683293411736,0.7790832983330692,1.0,1
2020-04-29,149,7,10,1,10.571428571428571,149.0,7.0,8.133333333333333,17.31752196288085,14.494825047027389,0.7845208635242816,1.0,1
2020-04-30,153,4,11,1,10.285714285714286,153.0,4.0,7.875,18.378042571543237,14.94961268561299,0.785452085766973,1.0,1
2020-05-01,177,24,11,0,12.0,177.0,24.0,8.823529411764707,19.223725180328884,15.421142711577446,0.7943655954786091,1.0,1
2020-05-02,195,18,11,0,12.142857142857142,195.0,18.0,9.333333333333334,20.371002377482938,15.932060718400423,0.8041391234515115,1.0,1
2020-05-03,196,1,11,0,10.285714285714286,196.0,1.0,9.38888888888889,21.241076483522274,16.46071833476096,0.809065846763311,1.0,1
2020-05-04,214,18,11,0,12.285714285714286,214.0,18.0,10.11111111111111,22.436243581150322,17.017787024006928,0.8307988413696722,1.0,1
2020-05-05,226,12,12,1,12.0,226.0,12.0,10.222222222222221,23.408221866689885,17.62498753815795,0.8576528739725212,1.0,1
2020-05-06,243,17,12,0,13.428571428571429,243.0,17.0,11.055555555555555,24.490474288424707,18.26965121888002,0.8766635577471992,1.0,1
2020-05-07,270,27,13,1,16.714285714285715,270.0,27.0,12.11111111111111,25.508634525824643,18.947378243196543,0.8953709967655799,1.0,1
2020-05-08,277,7,14,1,14.285714285714286,277.0,7.0,12.166666666666666,26.390246681872412,19.66072677755879,0.9158374706622165,1.0,1
2020-05-09,293,16,15,1,14.0,293.0,16.0,12.833333333333334,27.35411153665622,20.40946045561352,0.9434470387128895,1.0,1
2020-05-10,308,15,18,3,16.0,308.0,15.0,13.444444444444445,28.400901112310507,21.206770413715297,0.9706685214315545,1.0,1
2020-05-11,328,20,19,1,16.285714285714285,328.0,20.0,14.222222222222221,29.208170160993042,22.03746514241229,0.9965403444412307,1.0,1
2020-05-12,339,11,19,0,16.142857142857142,339.0,11.0,13.666666666666666,30.2181222012871,22.912640440819548,1.0297073837986004,1.0,1
2020-05-13,351,12,19,0,15.428571428571429,351.0,12.0,13.38888888888889,30.909803769962075,23.83448820302259,1.0625767879662298,1.0,1
2020-05-14,367,16,19,0,13.857142857142858,367.0,16.0,13.5,31.556642061135033,24.798872512150883,1.0912200867286155,1.0,1
2020-05-15,386,19,19,0,15.571428571428571,386.0,19.0,14.333333333333334,32.29286848320539,25.800144288235977,1.1254486495639384,1.0,1
2020-05-16,405,19,19,0,16.0,405.0,19.0,14.61111111111111,33.10782435173235,26.853756648962634,1.1586161902891112,1.0,1
2020-05-17,424,19,19,0,16.571428571428573,424.0,19.0,15.277777777777779,33.74896000246518,27.940857185726916,1.1874123824568201,1.0,1
2020-05-18,451,27,9,0,17.571428571428573,451.0,27.0,16.555555555555557,34.49729747051786,29.070206306089293,1.2153979697769144,1.0,1
2020-05-19,461,10,9,0,17.428571428571427,461.0,10.0,15.777777777777779,35.249966351555905,30.230170764683365,1.241889910714274,1.0,1
2020-05-20,494,33,9,0,20.428571428571427,494.0,33.0,16.61111111111111,35.96046733779117,31.428116824617984,1.2654109356168521,1.0,1
2020-05-21,513,19,9,0,20.857142857142858,513.0,19.0,17.61111111111111,36.47587482405316,32.64952742421945,1.2851704933285955,1.0,1
2020-05-22,543,30,10,1,22.428571428571427,543.0,30.0,18.27777777777778,36.8043636900805,33.90018607181332,1.3031560786866672,1.0,1
2020-05-23,566,23,10,1,23.0,566.0,23.0,18.88888888888889,37.44944067550375,35.16961789268369,1.3155170937380243,1.0,1
2020-05-24,592,26,10,0,24.0,592.0,26.0,19.38888888888889,37.986679483458026,36.45593220993173,1.3257214564514979,1.0,1
2020-05-25,608,16,10,0,22.428571428571427,608.0,16.0,18.77777777777778,38.426315438227945,37.755646665295664,1.3296679738098687,1.0,1
2020-05-26,629,21,10,0,24.0,629.0,21.0,19.555555555555557,39.09209659999885,39.058722783973344,1.3256123579802432,1.0,1
2020-05-27,671,42,10,0,25.285714285714285,671.0,42.0,21.0,39.75846783180082,40.35824634099738,1.3186932422301414,1.0,1
2020-05-28,723,52,10,0,30.0,723.0,52.0,23.055555555555557,40.113464009960495,41.65451621452454,1.304350050234505,1.0,1
2020-05-29,765,42,10,0,31.714285714285715,765.0,42.0,24.27777777777778,40.45310674091493,42.931563838311895,1.2844098691650314,1.0,1
2020-05-30,824,59,10,0,36.857142857142854,824.0,59.0,26.944444444444443,40.89756352036672,44.19339869318464,1.2609349502995295,1.0,1
2020-05-31,887,63,10,0,42.142857142857146,887.0,63.0,29.77777777777778,41.31095751811169,45.439237772234684,1.2258663876085407,1.0,1
2020-06-01,910,23,10,0,43.142857142857146,910.0,23.0,30.166666666666668,41.71832185329721,46.64513146840172,1.182311191195135,1.0,1
2020-06-02,954,44,10,0,46.42857142857143,954.0,44.0,31.555555555555557,42.516005014269616,47.80386015462494,1.136192421071114,1.0,1
2020-06-03,1066,112,10,0,56.42857142857143,1066.0,112.0,36.72222222222222,43.2578500904303,48.91751631054395,1.0827810268354192,1.0,1
2020-06-04,1131,65,10,0,58.285714285714285,1131.0,65.0,39.27777777777778,43.70291991271434,49.969422208295796,1.01974009295828,1.0,1
2020-06-05,1163,32,11,1,56.857142857142854,1163.0,32.0,39.55555555555556,44.25972394339683,50.95699649646051,0.9527121613404292,1.0,1
2020-06-06,1232,69,11,0,58.285714285714285,1232.0,69.0,42.833333333333336,44.824960324835935,51.87484653097663,0.8818491266212316,1.0,1
2020-06-07,1269,37,11,0,54.57142857142857,1269.0,37.0,43.05555555555556,45.377903090222084,52.72069474970299,0.807528046322092,1.0,1
2020-06-08,1306,37,12,1,56.57142857142857,1306.0,37.0,44.05555555555556,45.79126640825422,53.48990262362083,0.721008793057784,1.0,1
2020-06-09,1366,60,12,0,58.857142857142854,1366.0,60.0,45.72222222222222,46.347746409758685,54.162712335818554,0.6297188176991046,1.0,1
2020-06-10,1425,59,12,0,51.285714285714285,1425.0,59.0,47.72222222222222,46.931023136905495,54.74934025901901,0.5417572008854764,1.0,1
2020-06-11,1535,110,12,0,57.714285714285715,1535.0,110.0,52.388888888888886,47.32165342790983,55.246226737589524,0.4473591670161836,1.0,1
2020-06-12,1635,100,12,0,67.42857142857143,1635.0,100.0,57.05555555555556,47.788331115990424,55.64405859305141,0.34683810562440226,1.0,1
2020-06-13,1740,105,12,0,72.57142857142857,1740.0,105.0,61.72222222222222,48.19550621026909,55.93990294883831,0.2507223186295748,1.0,1
2020-06-14,1838,98,19,7,81.28571428571429,1838.0,98.0,64.83333333333333,48.68478473272345,56.14550323031053,0.1567045825442813,1.0,1
2020-06-15,1901,63,19,0,85.0,1901.0,63.0,65.44444444444444,49.050197606845906,56.253312113926874,0.05478034840838123,1.0,1
2020-06-16,1996,95,19,0,90.0,1996.0,95.0,68.38888888888889,49.70481428845783,56.255063927127324,-0.04547881431228944,-1.0,1
2020-06-17,2047,51,19,0,88.85714285714286,2047.0,51.0,67.94444444444444,49.730608795851744,56.16235448530228,-0.1379574406206759,-1.0,1
2020-06-18,2088,41,19,0,79.0,2088.0,41.0,66.72222222222223,49.66473439600535,55.97914904588593,-0.23697421247843894,-1.0,1
2020-06-19,2183,95,19,0,78.28571428571429,2183.0,95.0,70.72222222222223,49.65943383906278,55.68840606034543,-0.3348656241161784,-1.0,1
2020-06-20,2278,95,19,0,76.85714285714286,2278.0,95.0,73.55555555555556,49.520279623583605,55.309417797653616,-0.4191456385103067,-1.0,1
2020-06-21,2353,75,19,0,73.57142857142857,2353.0,75.0,71.5,49.44943960053772,54.85011478332479,-0.5021770498261647,-1.0,1
2020-06-22,2414,61,19,0,73.28571428571429,2414.0,61.0,71.27777777777777,49.142956788937944,54.30506369800128,-0.5803976859020904,-1.0,1
2020-06-23,2458,44,19,0,66.0,2458.0,44.0,71.94444444444444,49.097756097560946,53.689319411520614,-0.6519733237868598,-1.0,1
2020-06-24,2527,69,19,0,68.57142857142857,2527.0,69.0,71.94444444444444,48.81593393508735,53.001117050427546,-0.7181146860659096,-1.0,1
2020-06-25,2564,37,19,0,68.0,2564.0,37.0,71.94444444444444,48.684048396389464,52.25309003938879,-0.7787471881676558,-1.0,1
2020-06-26,2609,45,19,0,60.857142857142854,2609.0,45.0,72.38888888888889,48.68062684847319,51.44362267409225,-0.833862000590605,-1.0,1
2020-06-27,2667,58,19,0,55.57142857142857,2667.0,58.0,72.27777777777777,48.676807374687904,50.5853660382076,-0.8777416223437988,-1.0,1
2020-06-28,2722,55,21,2,52.714285714285715,2722.0,55.0,72.05555555555556,48.62925753792969,49.68813942940465,-0.916383563305334,-1.0,1
2020-06-29,2757,35,21,0,49.0,2757.0,35.0,67.88888888888889,48.307307854810816,48.75259891159692,-0.9492784934694558,-1.0,1
2020-06-30,2830,73,21,0,53.142857142857146,2830.0,73.0,66.38888888888889,48.40985903591318,47.78958244246573,-0.974354281784551,-1.0,1
2020-07-01,2875,45,21,0,49.714285714285715,2875.0,45.0,63.05555555555556,48.13016477818318,46.80389034802782,-0.9910399179554465,-1.0,1
2020-07-02,2932,57,23,2,52.57142857142857,2932.0,57.0,60.77777777777778,47.784964855002855,45.80750260655485,-1.0040997699152543,-1.0,1
2020-07-03,2967,35,23,0,51.142857142857146,2967.0,35.0,59.22222222222222,47.61123564432493,44.79569080819731,-1.0101576888087966,-1.0,1
2020-07-04,3018,51,25,2,50.142857142857146,3018.0,51.0,56.77777777777778,47.24871135010561,43.787187228937256,-1.007809811997318,-1.0,1
2020-07-05,3044,26,26,1,46.0,3044.0,26.0,55.388888888888886,46.80377952755903,42.78007118420267,-0.9999687946489972,-1.0,1
2020-07-06,3082,38,26,0,46.42857142857143,3082.0,38.0,55.22222222222222,46.47594238525061,41.78724963963926,-0.9859617223456025,-1.0,1
2020-07-07,3109,27,28,2,39.857142857142854,3109.0,27.0,51.44444444444444,46.09025849817551,40.80814773951146,-0.9677160395239817,-1.0,1
2020-07-08,3137,28,28,0,37.42857142857143,3137.0,28.0,47.72222222222222,45.73977030919913,39.851817560591286,-0.941462789100605,-1.0,1
2020-07-09,3172,35,28,0,34.285714285714285,3172.0,35.0,45.5,45.39849126176299,38.92522216131026,-0.9137537575970928,-1.0,1
2020-07-10,3198,26,28,0,33.0,3198.0,26.0,43.55555555555556,44.89255233339731,38.024310045397115,-0.8827033693629979,-1.0,1
2020-07-11,3214,16,28,0,28.0,3214.0,16.0,42.0,44.22178452083731,37.15981542258427,-0.8504631573667703,-1.0,1
2020-07-12,3245,31,28,0,28.714285714285715,3245.0,31.0,39.888888888888886,43.588535433070845,36.323383730663565,-0.8174239909403604,-1.0,1
2020-07-13,3257,12,36,8,25.0,3257.0,12.0,38.5,43.118386787017464,35.524967440703534,-0.7769002940094177,-1.0,1
2020-07-14,3291,34,36,0,26.0,3291.0,34.0,37.888888888888886,42.58462223929323,34.769583142644734,-0.7362245477480768,-1.0,1
2020-07-15,3327,36,38,2,27.142857142857142,3327.0,36.0,36.666666666666664,41.95837910505086,34.052518345207375,-0.6936988650307182,-1.0,1
2020-07-16,3354,27,39,1,26.0,3354.0,27.0,35.111111111111114,41.22513693105432,33.38218541258329,-0.6467499619598861,-1.0,1
2020-07-17,3372,18,41,2,24.857142857142858,3372.0,18.0,34.166666666666664,40.52398233147684,32.75901842128762,-0.6012849104524535,-1.0,1
2020-07-18,3402,30,42,1,26.857142857142858,3402.0,30.0,31.77777777777778,39.714541194545795,32.17961559167839,-0.5653766547959518,-1.0,1
2020-07-19,3421,19,42,0,25.142857142857142,3421.0,19.0,30.333333333333332,38.79177722296906,31.62826511169572,-0.5215339360096937,-1.0,1
2020-07-20,3437,16,45,3,25.714285714285715,3437.0,16.0,28.055555555555557,37.989724601497976,31.13654771965899,-0.46445668831982384,-1.0,1
2020-07-21,3454,17,45,0,23.285714285714285,3454.0,17.0,27.055555555555557,37.13913577875936,30.699351735056066,-0.4225365562026011,-1.0,1
2020-07-22,3486,32,45,0,22.714285714285715,3486.0,32.0,26.0,36.547194161705384,30.291474607253797,-0.38241322418428947,-1.0,1
2020-07-23,3534,48,45,0,25.714285714285715,3534.0,48.0,27.22222222222222,35.73854734011905,29.93452528668747,-0.3379446249479508,-1.0,1
2020-07-24,3554,20,48,3,26.0,3554.0,20.0,26.22222222222222,34.956137507201845,29.615585357357897,-0.3031527545984492,-1.0,1
2020-07-25,3582,28,49,1,25.714285714285715,3582.0,28.0,26.27777777777778,33.93480007681964,29.328219777490585,-0.267869387818632,-1.0,1
2020-07-26,3618,36,49,0,28.142857142857142,3618.0,36.0,26.72222222222222,32.97680507009794,29.07984658172064,-0.23837668521354496,-1.0,1
2020-07-27,3633,15,50,1,28.0,3633.0,15.0,25.61111111111111,31.931108123679646,28.851466407063494,-0.20690527717556687,-1.0,1
2020-07-28,3646,13,52,2,27.428571428571427,3646.0,13.0,24.88888888888889,31.190283848665242,28.6660360273695,-0.17055048903799652,-1.0,1
2020-07-29,3686,40,52,0,28.571428571428573,3686.0,40.0,26.22222222222222,30.441275206452843,28.510365428987498,-0.14136607693522996,-1.0,1
2020-07-30,3728,42,52,0,27.714285714285715,3728.0,42.0,26.833333333333332,29.862870750912226,28.383303873499045,-0.11055090739209356,-1.0,1
2020-07-31,3761,33,53,1,29.571428571428573,3761.0,33.0,28.0,29.073083157288256,28.28926361420333,-0.08616908569241061,-1.0,1
2020-08-01,3797,36,53,0,30.714285714285715,3797.0,36.0,28.11111111111111,28.38416900326482,28.21096570211423,-0.060813599953923964,-1.0,1
2020-08-02,3834,37,53,0,30.857142857142858,3834.0,37.0,28.166666666666668,27.763630497407334,28.167636414295462,-0.03373106826962011,-1.0,1
2020-08-03,3835,1,53,0,28.857142857142858,3835.0,1.0,26.72222222222222,26.667020549260595,28.143503565574974,-0.02232703829680798,-1.0,1
2020-08-04,3839,4,53,0,27.571428571428573,3839.0,4.0,25.944444444444443,25.737537929709994,28.122982337701842,-0.011663367164412746,-1.0,1
2020-08-05,3869,30,53,0,26.142857142857142,3869.0,30.0,25.944444444444443,25.774182446706345,28.120176831246155,0.005853508518960226,1.0,2
2020-08-06,3889,20,54,1,23.0,3889.0,20.0,26.0,25.31873093912041,28.134689354739763,0.01896056273562668,1.0,2
2020-08-07,3908,19,54,0,21.0,3908.0,19.0,26.166666666666668,24.626969848281146,28.158097956717402,0.028445164265429184,1.0,2
2020-08-08,3928,20,54,0,18.714285714285715,3928.0,20.0,26.333333333333332,24.299206452851926,28.191579683270632,0.032430558109288,1.0,2
2020-08-09,3961,33,54,0,18.142857142857142,3961.0,33.0,26.38888888888889,23.48277933550989,28.22295907293599,0.03765452497075502,1.0,2
2020-08-10,3982,21,54,0,21.0,3982.0,21.0,24.88888888888889,22.60295141156135,28.266888733212138,0.04462180116363588,1.0,2
2020-08-11,4001,19,57,3,23.142857142857142,4001.0,19.0,24.833333333333332,22.057012483195688,28.312202675263258,0.04298941243774223,1.0,2
2020-08-12,4038,37,57,0,24.142857142857142,4038.0,37.0,25.333333333333332,21.507767236412516,28.35286755808762,0.0396656539671987,1.0,2
2020-08-13,4070,32,57,0,25.857142857142858,4070.0,32.0,25.11111111111111,21.641007874015738,28.391533983197657,0.036071524065656765,1.0,2
2020-08-14,4109,39,57,0,28.714285714285715,4109.0,39.0,26.444444444444443,21.73313001728442,28.42501060621893,0.02848395133908884,1.0,2
2020-08-15,4143,34,57,0,30.714285714285715,4143.0,34.0,27.61111111111111,21.859598233147675,28.448501885875828,0.023924057344134133,1.0,2
2020-08-16,4190,47,57,0,32.714285714285715,4190.0,47.0,28.0,21.86236835029767,28.472858720907205,0.020509487918259163,1.0,2
2020-08-17,4215,25,57,0,33.285714285714285,4215.0,25.0,27.055555555555557,21.51202765507969,28.489520861712347,0.017506368984253017,1.0,2
2020-08-18,4242,27,59,2,34.42857142857143,4242.0,27.0,26.72222222222222,21.532478586518135,28.50787145887571,0.012953354662907004,1.0,2
2020-08-19,4279,37,59,0,34.42857142857143,4279.0,37.0,26.77777777777778,21.267578260034558,28.51542757103816,0.007642757858099757,1.0,2
2020-08-20,4314,35,59,0,34.857142857142854,4314.0,35.0,26.666666666666668,20.786939120414814,28.523156974591917,0.004037488362412199,1.0,2
2020-08-21,4350,36,60,1,34.42857142857143,4350.0,36.0,28.61111111111111,21.053171499903964,28.52350254776299,-0.0019788032185789894,-1.0,2
2020-08-22,4384,34,60,0,34.42857142857143,4384.0,34.0,30.27777777777778,21.292937968119826,28.519199368154748,-0.007012109322204237,-1.0,2
2020-08-23,4434,50,60,0,34.857142857142854,4434.0,50.0,31.38888888888889,21.394593431918555,28.50947832911858,-0.014141421467877516,-1.0,2
2020-08-24,4458,24,60,0,34.714285714285715,4458.0,24.0,31.61111111111111,21.425809871327047,28.49091652521901,-0.017571274741209973,-1.0,2
2020-08-25,4499,41,60,0,36.714285714285715,4499.0,41.0,32.833333333333336,21.33492759746494,28.474335779636164,-0.014233453735352538,-1.0,2
2020-08-26,4527,28,60,0,35.42857142857143,4527.0,28.0,33.27777777777778,21.559930862300746,28.462449617748295,-0.012131850525485257,-1.0,2
2020-08-27,4557,30,60,0,34.714285714285715,4557.0,30.0,33.111111111111114,21.498753216823502,28.450072078585197,-0.008216523558522653,-1.0,2
2020-08-28,4581,24,60,0,33.0,4581.0,24.0,33.27777777777778,21.66413059343191,28.446016570631244,-0.003510534627425079,-1.0,2
2020-08-29,4603,22,60,0,31.285714285714285,4603.0,22.0,33.44444444444444,21.982053389667744,28.443051009330347,0.0013602205836111912,1.0,3
2020-08-30,4635,32,60,0,28.714285714285715,4635.0,32.0,33.166666666666664,22.328652967159577,28.448737011798478,0.012705444260877679,1.0,3
2020-08-31,4638,3,61,1,25.714285714285715,4638.0,3.0,31.555555555555557,22.535803341655456,28.468461897852087,0.029094100766957048,1.0,3
2020-09-01,4662,24,61,0,23.285714285714285,4662.0,24.0,30.72222222222222,23.247774150182444,28.50692521333239,0.04694856726679135,1.0,3
2020-09-02,4685,23,61,0,22.571428571428573,4685.0,23.0,30.11111111111111,23.644435567505276,28.56235903238569,0.06720634380516498,1.0,3
2020-09-03,4711,26,61,0,22.0,4711.0,26.0,28.944444444444443,24.34126061071633,28.641337900942716,0.09196912974033246,1.0,3
2020-09-04,4745,34,61,0,23.428571428571427,4745.0,34.0,29.444444444444443,24.87234722488958,28.746297291866338,0.11580388748104245,1.0,3
2020-09-05,4766,21,61,0,23.285714285714285,4766.0,21.0,29.11111111111111,25.56110773958132,28.872945675904795,0.14065865071052194,1.0,3
2020-09-06,4791,25,61,0,22.285714285714285,4791.0,25.0,28.444444444444443,26.010601113885134,29.02761459328738,0.16853470864584094,1.0,3
2020-09-07,4812,21,62,1,24.857142857142858,4812.0,21.0,27.666666666666668,27.16547570578068,29.21001509319649,0.20510097887557305,1.0,3
2020-09-08,4832,20,62,0,24.285714285714285,4832.0,20.0,26.77777777777778,27.705124639907805,29.437816551038527,0.24542313942181565,1.0,3
2020-09-09,4859,27,62,0,24.857142857142858,4859.0,27.0,26.38888888888889,28.305207605146908,29.700861372040105,0.2820224557555517,1.0,3
2020-09-10,4877,18,62,0,23.714285714285715,4877.0,18.0,24.61111111111111,28.9718394468984,30.001861462549634,0.3248806575126093,1.0,3
2020-09-11,4915,38,62,0,24.285714285714285,4915.0,38.0,25.38888888888889,29.470981371231016,30.35062268706532,0.3718906316512068,1.0,3
2020-09-12,4947,32,62,0,25.857142857142858,4947.0,32.0,24.88888888888889,29.870884578452078,30.745642725852047,0.41491930331073645,1.0,3
2020-09-13,4968,21,62,0,25.285714285714285,4968.0,21.0,24.5,30.545058574995195,31.180461293686804,0.45887254278598777,1.0,3
2020-09-14,4982,14,62,0,24.285714285714285,4982.0,14.0,23.61111111111111,30.941242173996525,31.663387811424016,0.5109440865246344,1.0,3
2020-09-15,5001,19,62,0,24.142857142857142,5001.0,19.0,23.333333333333332,31.56051930094103,32.20234946673607,0.5656959641464682,1.0,3
2020-09-16,5030,29,62,0,24.428571428571427,5030.0,29.0,23.72222222222222,32.33163049740732,32.794779739716944,0.6198532363658054,1.0,3
2020-09-17,5057,27,62,0,25.714285714285715,5057.0,27.0,23.444444444444443,33.10270942961396,33.44205593946768,0.680720165110139,1.0,3
2020-09-18,5091,34,62,0,25.142857142857142,5091.0,34.0,25.166666666666668,33.86107317073171,34.156220069937234,0.74338770413548,1.0,3
2020-09-19,5133,42,62,0,26.571428571428573,5133.0,42.0,26.166666666666668,34.76395467639715,34.92883134773863,0.7983959684706753,1.0,3
2020-09-20,5172,39,62,0,29.142857142857142,5172.0,39.0,27.055555555555557,35.6315037449587,35.753012006878585,0.8560959542417776,1.0,3
2020-09-21,5196,24,62,0,30.571428571428573,5196.0,24.0,26.944444444444443,36.50275552141346,36.64102325622219,0.9207384458053101,1.0,3
2020-09-22,5219,23,62,0,31.142857142857142,5219.0,23.0,26.333333333333332,37.4358778567313,37.59448889848922,0.9855367848960369,1.0,3
2020-09-23,5244,25,62,0,30.571428571428573,5244.0,25.0,26.555555555555557,38.559159592855764,38.61209682601428,1.0422228276646546,1.0,3
2020-09-24,5276,32,62,0,31.285714285714285,5276.0,32.0,26.944444444444443,39.92515152679084,39.67893455381851,1.106613488958545,1.0,3
2020-09-25,5320,44,62,0,32.714285714285715,5320.0,44.0,28.22222222222222,41.012165162281526,40.82532380393137,1.1796658070369948,1.0,3
2020-09-26,5361,41,62,0,32.57142857142857,5361.0,41.0,29.38888888888889,42.20775417706931,42.0382661678925,1.2447570074424372,1.0,3
2020-09-27,5398,37,62,0,32.285714285714285,5398.0,37.0,29.944444444444443,43.4643518340695,43.314837818816244,1.312350290907719,1.0,3
2020-09-28,5412,14,62,0,30.857142857142858,5412.0,14.0,29.72222222222222,44.5614565008642,44.66296674970794,1.381441091807958,1.0,3
2020-09-29,5446,34,62,0,32.42857142857143,5446.0,34.0,29.5,45.689405799884746,46.07772000243215,1.448637213347306,1.0,3
2020-09-30,5476,30,62,0,33.142857142857146,5476.0,30.0,29.38888888888889,47.21811714999037,47.56024117640255,1.5153983242867757,1.0,3
2020-10-01,5514,38,62,0,34.0,5514.0,38.0,30.333333333333332,48.81283042058766,49.1085166510057,1.5854357325490547,1.0,3
2020-10-02,5562,48,62,0,34.57142857142857,5562.0,48.0,32.22222222222222,50.385639331668884,50.73111264150065,1.6540390581852136,1.0,3
2020-10-03,5611,49,62,0,35.714285714285715,5611.0,49.0,33.888888888888886,52.08673247551369,52.41659476737613,1.7153382667883974,1.0,3
2020-10-04,5661,50,62,0,37.57142857142857,5661.0,50.0,35.05555555555556,46.01724294219317,54.161789175077466,1.7757704010014672,1.0,3
2020-10-05,5719,58,62,0,43.857142857142854,5719.0,58.0,36.77777777777778,47.482175532936424,55.968135569379086,1.8365396720255114,1.0,3
2020-10-06,5769,50,62,0,46.142857142857146,5769.0,50.0,37.666666666666664,48.67090608795852,57.83486851912846,1.895079926361027,1.0,3
2020-10-07,5818,49,62,0,48.857142857142854,5818.0,49.0,38.05555555555556,49.70591280967926,59.75829542210113,1.9487305323579873,1.0,3
2020-10-08,5855,37,62,0,48.714285714285715,5855.0,37.0,37.94444444444444,51.53255694257725,61.73232958384442,2.003218817560742,1.0,3
2020-10-09,5900,45,62,0,48.285714285714285,5900.0,45.0,39.111111111111114,53.15083387747261,63.7647330572226,2.0547790440902207,1.0,3
2020-10-10,5956,56,62,0,49.285714285714285,5956.0,56.0,40.94444444444444,54.52476128288841,65.84188767202491,2.101778079989522,1.0,3
2020-10-11,6019,63,62,0,51.142857142857146,6019.0,63.0,43.05555555555556,56.224015363933155,67.96828921720164,2.147106582645101,1.0,3
2020-10-12,6080,61,62,0,51.57142857142857,6080.0,61.0,44.666666666666664,57.94337622431341,70.1361008373151,2.1882870071802447,1.0,3
2020-10-13,6144,64,62,0,53.57142857142857,6144.0,64.0,45.77777777777778,59.54844324947187,72.34486323156213,2.2277257897366156,1.0,3
2020-10-14,6208,64,63,1,55.714285714285715,6208.0,64.0,47.05555555555556,61.40495025926634,74.59155241678832,2.2610845328775087,1.0,3
2020-10-15,6273,65,63,0,59.714285714285715,6273.0,65.0,48.611111111111114,63.398435951603574,76.86703229731714,2.293381822355439,1.0,3
2020-10-16,6348,75,63,0,64.0,6348.0,75.0,52.0,65.43648780487803,79.17831606149919,2.320645496568787,1.0,3
2020-10-17,6435,87,63,0,68.42857142857143,6435.0,87.0,54.94444444444444,67.3880960245823,81.50832329045471,2.3415447960306612,1.0,3
2020-10-18,6524,89,63,0,72.14285714285714,6524.0,89.0,58.22222222222222,69.66944958709425,83.86140565356052,2.362069976331091,1.0,3
2020-10-19,6622,98,63,0,77.42857142857143,6622.0,98.0,61.55555555555556,71.88711503744956,86.23246324311692,2.377891004939021,1.0,3
2020-10-20,6707,85,63,0,80.42857142857143,6707.0,85.0,63.611111111111114,74.25540695217975,88.61718766343857,2.494009243387424,1.0,3
2020-10-21,6805,98,63,0,85.28571428571429,6805.0,98.0,66.33333333333333,76.71290339927017,91.22048172989177,2.5367238761251096,1.0,3
2020-10-22,6902,97,63,0,89.85714285714286,6902.0,97.0,68.94444444444444,79.0385942001152,93.69063541568879,2.485605993052802,1.0,3
2020-10-23,7011,109,63,0,94.71428571428571,7011.0,109.0,71.77777777777777,81.8861686191665,96.19169371599737,2.519603581224001,1.0,3
