param,fixed,fit_value
β,false,0.7148036857515015
σ,true,0.40000000000000013
γ,true,0.39989999999999987
μ,false,2.6482395220437495e-12
E0,false,0.04934167979930108
I0,false,0.03691175015361776
N_eff,false,62.23983093839017
R0,false,1.787456078398354
