param,fixed,fit_value
β,false,0.39669335863718846
σ,true,0.1753999999999998
γ,true,0.24749999999999955
μ,false,0.0022130875998269623
E0,false,0.8496998052423492
I0,false,28.156406236689126
N_eff,false,6318.084253621023
R0,false,1.6028014490391482
