date,obs_cases,obs_deaths,fit_cases,fit_deaths,prior_cases,S,E,I,R,D
2020-06-19,95.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-06-20,95.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-06-21,75.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-06-22,61.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-06-23,44.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-06-24,69.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-06-25,37.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-06-26,45.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-06-27,58.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-06-28,55.0,2.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-06-29,35.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-06-30,73.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-01,45.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-02,57.0,2.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-03,35.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-04,51.0,2.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-05,26.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-06,38.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-07,27.0,2.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-08,28.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-09,35.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-10,26.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-11,16.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-12,31.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-13,12.0,8.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-14,34.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-15,36.0,2.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-16,27.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-17,18.0,2.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-18,30.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-19,19.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-20,16.0,3.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-21,17.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-22,32.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-23,48.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-24,20.0,3.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-25,28.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-26,36.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-27,15.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-28,13.0,2.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-29,40.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-30,42.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-07-31,33.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-08-01,36.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-08-02,37.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-08-03,1.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2020-08-04,4.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
