param,fixed,fit_value
β,false,0.45486486709242524
σ,true,0.40000000000000124
γ,true,0.3999000000000014
μ,false,5.689023046177801e-11
E0,false,2.510234228588686
I0,false,3.308904349117568
N_eff,false,5085.89433697545
R0,false,1.1374465293634
