param,fixed,prior_value,fit_value,delta_pct
β,false,3.5880846590909075,0.4038375654560434,-88.74503798471552
σ,true,0.2992522727272725,0.2992522727272725,0.0
γ,true,0.3330505681818188,0.3330505681818188,0.0
μ,false,0.0002824318181818169,0.005613619278710139,1887.6015726458727
E0,false,517.7719889372079,263.13925488505566,-49.17854567119736
I0,false,464.83379816573625,780.4097943385589,67.89007112178695
N_eff,false,45007.416666666686,95430.25280441815,112.03228239290513
R0,false,10.773392997582585,1.212541289632572,-88.74503798473204
