date,obs_cases,obs_deaths,fit_cases,fit_deaths,S,E,I,R,D
2024-06-29,1.1666666666666667,0.0,1.0040936914354774,1.88244330997278e-10,5080.075198397743,2.510234228588686,3.308904349117568,0.0,0.0
2024-06-30,0.9444444444444444,0.0,1.150525736952307,1.7730007069119403e-10,5078.624088745713,2.8763143423807587,3.116529310077483,1.2774045770968374,1.817250332182268e-10
2024-07-01,0.9444444444444444,0.0,1.2334534869805223,1.7503799128465382e-10,5077.221439207513,3.083633717451296,3.0767671331944064,2.512496916934064,3.574306792670295e-10
2024-07-02,1.0555555555555556,0.0,1.2890465463659488,1.7663746036153077e-10,5075.819782909129,3.2226163659148623,3.1048821375439064,3.7470555623305724,5.330604013355156e-10
2024-07-03,1.0555555555555556,0.0,1.3331403999487852,1.799899688629401e-10,5074.397870711727,3.332850999871953,3.163811561351773,4.9998037017893004,7.112777815915056e-10
2024-07-04,1.1666666666666667,0.0,1.3726732577444047,1.8417389203112476e-10,5072.945915758901,3.4316831443610014,3.2373553514581546,6.279382719837332,8.933121532614426e-10
2024-07-05,1.1666666666666667,0.0,1.4106899997216884,1.8878704430079105e-10,5071.459138106082,3.52672499930421,3.3184440064384795,7.590029862546624,1.0797663118080849e-9
2024-07-06,1.1111111111111112,0.0,1.4485317241720943,1.9365458597342677e-10,5069.934940290162,3.6213293104302244,3.4040042446924974,8.934063128894747,1.2709700184118375e-9
2024-07-07,1.0,0.0,1.4867938722359502,1.9870118656249005e-10,5068.371671490483,3.716984680589864,3.4927119287377195,10.312968874172087,1.4671347236728964e-9
2024-07-08,0.7777777777777778,0.0,1.5257455112291787,2.0389507214205836e-10,5066.7680867863255,3.8143637780729347,3.5840085457035773,11.727877863679447,1.6684212915536537e-9
2024-07-09,0.7222222222222222,0.0,1.5655128114075096,2.0922353425097067e-10,5065.1231105956385,3.913782028518762,3.6776707099391794,13.179773639478427,1.8749696418704467e-9
2024-07-10,0.7777777777777778,0.0,1.6061593492132407,2.1468220587476604e-10,5063.435733209474,4.015398373033089,3.773621659328685,14.669583731527231,2.08691172609385e-9
2024-07-11,0.7777777777777778,0.0,1.6477212252657236,2.2027036735689296e-10,5061.704965627363,4.119303063164296,3.871848743957589,16.198219538660002,2.3043772008623145e-9
