param,fixed,prior_value,fit_value,delta_pct
β,false,8.0,0.4521238159569045,-94.3484523005269
σ,true,0.40000000000000274,0.40000000000000274,0.0
γ,true,0.39990000000000175,0.39990000000000175,0.0
μ,false,8.00000000000002e-5,0.0006246998770041927,680.8748377443036
E0,false,2.916666666659355,2.437672223213379,-16.422666632469006
I0,false,2.9168125072847264,3.8124579922019706,30.706309804969173
N_eff,false,1396.694444444445,5434.778748748755,289.1172310712893
R0,false,20.00500125031249,1.130592187939241,-94.34845230053398
