wave,strain,date,obs_cases,obs_deaths,fit_cases,fit_deaths,S,E,I,R,D
1,Wuhan-1 (D614G / ancestral),2020-04-15,0.0,0.0,0.1488463793447931,0.062314655683333865,6289.08842101518,0.8486110566977951,28.15736693976871,0.0,0.0
1,Wuhan-1 (D614G / ancestral),2020-04-16,2.5,0.0,1.7232225887930608,0.05054670063200561,6279.122765646212,9.824530152754063,22.83992395822022,6.2512817997541985,0.055897454706011374
1,Wuhan-1 (D614G / ancestral),2020-04-17,5.0,0.0,2.7861612625070964,0.04390013447759317,6270.775124219786,15.88461381132896,19.83662080189239,11.495252403088466,0.1027877755504593
1,Wuhan-1 (D614G / ancestral),2020-04-18,4.25,0.0,3.537032914067695,0.040460488094317945,6263.312651987321,20.165524025471488,18.282389549310313,16.189074647140632,0.14475880240375064
1,Wuhan-1 (D614G / ancestral),2020-04-19,5.0,0.0,4.09936846437793,0.039043515968380016,6256.2764690824915,23.37154198619119,17.642119557348707,20.619890297906828,0.1843780877092264
1,Wuhan-1 (D614G / ancestral),2020-04-20,5.166666666666667,0.0,4.549839954332067,0.0389171405685952,6249.376619344336,25.939794494481596,17.585015839693845,24.96969632861209,0.22327300452306176
1,Wuhan-1 (D614G / ancestral),2020-04-21,5.0,0.0,4.936141134012984,0.03962939921145816,6242.42733167645,28.142195746938366,17.90685550555078,29.355526046247633,0.262490036460328
1,Wuhan-1 (D614G / ancestral),2020-04-22,4.875,0.0,5.288036062134847,0.04090192404420436,6235.307042142952,30.148438210574987,18.48185585278347,33.85434541075755,0.3027173945788034
1,Wuhan-1 (D614G / ancestral),2020-04-23,5.0,0.0,5.624192574569069,0.042563969588648755,6227.933675224318,32.06495196447591,19.232864195080143,38.518484624838266,0.34442300293449446
1,Wuhan-1 (D614G / ancestral),2020-04-24,6.6,2.0,5.956411172198282,0.04451154184256634,6220.249347233069,33.959014664756495,20.112890025182523,43.385207027319495,0.38794006131924397
1,Wuhan-1 (D614G / ancestral),2020-04-25,7.545454545454546,0.0,6.2922429208819635,0.046682072313304276,6212.210895183096,35.873676857935976,21.093661277921107,48.48264556493323,0.4335201277600408
1,Wuhan-1 (D614G / ancestral),2020-04-26,8.083333333333334,0.0,6.636610267089117,0.04903872093837784,6203.784010622793,37.83700266299387,22.15853148151344,53.83348817204997,0.48136607229609807
1,Wuhan-1 (D614G / ancestral),2020-04-27,7.769230769230769,0.0,6.992810438474618,0.0515606442099426,6194.939605961375,39.86779041319627,23.298082333118046,59.45726775053072,0.5316525534265888
1,Wuhan-1 (D614G / ancestral),2020-04-28,8.214285714285714,1.0,7.363136368630194,0.05423695915493281,6185.651564410445,41.97911270598747,24.507396275819183,65.37178686202896,0.584538757365725
1,Wuhan-1 (D614G / ancestral),2020-04-29,8.133333333333333,1.0,7.749260606791521,0.05706299696601781,6175.895348219856,44.180505169849084,25.78436367232946,71.59400561232144,0.6401763372903806
1,Wuhan-1 (D614G / ancestral),2020-04-30,7.875,1.0,8.15247225660396,0.06003797514010132,6165.647140216952,46.479317312451364,27.128630942474647,78.14059616807361,0.6987143716953161
1,Wuhan-1 (D614G / ancestral),2020-05-01,8.823529411764707,0.0,8.573822734831184,0.06316354792661429,6154.883317463721,48.88154352811399,28.54094557186188,85.0282899787811,0.7603024691680673
1,Wuhan-1 (D614G / ancestral),2020-05-02,9.333333333333334,0.0,9.014214876067578,0.06644290046042546,6143.580132701483,51.39233110642867,30.02274678871555,92.27409569803031,0.825092716988317
1,Wuhan-1 (D614G / ancestral),2020-05-03,9.38888888888889,0.0,9.474456790890875,0.06988017883312753,6131.71352666909,54.016287291282126,31.575908037108494,99.89543610868577,0.893240905479909
1,Wuhan-1 (D614G / ancestral),2020-05-04,10.11111111111111,0.0,9.955293690805792,0.07348012764748235,6119.259024002434,56.75766072295213,33.202573203089415,107.9102337891525,0.9649072940179124
1,Wuhan-1 (D614G / ancestral),2020-05-05,10.222222222222221,1.0,10.457425948159448,0.0772478544682125,6106.191683307127,59.62044440227743,34.905050179921695,116.33696403805163,1.0402570842683112
1,Wuhan-1 (D614G / ancestral),2020-05-06,11.055555555555555,0.0,10.981518347280943,0.08118867268166634,6092.486083977179,62.60842843375687,36.68573986298803,125.19468603886739,1.1194606988547644
1,Wuhan-1 (D614G / ancestral),2020-05-07,12.11111111111111,1.0,11.528203781100343,0.08530799076253451,6078.116338500059,65.72522110091423,38.547086114085914,134.50305936762078,1.2026939289662426
1,Wuhan-1 (D614G / ancestral),2020-05-08,12.166666666666666,1.0,12.098083316319101,0.0896112288856149,6063.056123809314,68.97424923785128,40.49153808179827,144.28234989554525,1.2901379871373329
1,Wuhan-1 (D614G / ancestral),2020-05-09,12.833333333333334,1.0,12.691723648146013,0.09410375261682537,6047.278728516749,72.35874371805032,42.521520239256354,154.55342705479194,1.381979482798833
1,Wuhan-1 (D614G / ancestral),2020-05-10,13.444444444444445,3.0,13.309653000874567,0.09879081308191665,6030.7571127375,75.88171608252327,44.63940534890248,165.33775450390942,1.4784103388107221
1,Wuhan-1 (D614G / ancestral),2020-05-11,14.222222222222221,1.0,13.952355695435402,0.10367749122260685,6013.463980235524,79.54592756804685,46.84748927418622,176.65737428409773,1.5796276497912036
1,Wuhan-1 (D614G / ancestral),2020-05-12,13.666666666666666,0.0,14.62026556388351,0.10876864420780552,5995.371862767505,83.35385156147963,49.14796676505484,188.53488443563785,1.685833481968216
1,Wuhan-1 (D614G / ancestral),2020-05-13,13.38888888888889,0.0,15.313758859457757,0.11406884757370042,5976.4532147920345,87.30763317820852,51.54290531349673,200.99341110414576,1.797234623760278
1,Wuhan-1 (D614G / ancestral),2020-05-14,13.5,0.0,16.033146312956188,0.11958233654125393,5956.680520292504,91.40904397352455,54.03421863739096,214.05657383279876,1.9140422754279485
1,Wuhan-1 (D614G / ancestral),2020-05-15,14.333333333333334,0.0,16.778664403767,0.12531294598027617,5936.0264119325675,95.65943217655084,56.62363955280183,227.74844367519708,2.036471674529131
1,Wuhan-1 (D614G / ancestral),2020-05-16,14.61111111111111,0.0,17.550466534089864,0.13126404258134058,5914.463800464358,100.05967237223423,59.312689325325834,242.09349518312263,2.1647416666051873
1,Wuhan-1 (D614G / ancestral),2020-05-17,15.277777777777779,0.0,18.348613491591838,0.13743845573932095,5891.966016964289,104.61011112652142,62.102646439274665,257.1165502782652,2.2990742032954494
1,Wuhan-1 (D614G / ancestral),2020-05-18,16.555555555555557,0.0,19.17306325986891,0.1438384072185951,5868.506967977471,109.31050889320942,64.99451481634465,272.84271356074015,2.4396937638815754
1,Wuhan-1 (D614G / ancestral),2020-05-19,15.777777777777779,0.0,20.023661085876,0.1504654315612369,5844.061300474295,114.15998338583822,67.9889878514328,289.2973005861211,2.586826713958073
1,Wuhan-1 (D614G / ancestral),2020-05-20,16.61111111111111,0.0,20.900129044600554,0.1573202958072289,5818.604579459005,119.1569500832416,71.08641213758382,306.50575675168227,2.740700580132633
1,Wuhan-1 (D614G / ancestral),2020-05-21,17.61111111111111,0.0,21.802055063694514,0.164402920305473,5792.113478340735,124.29905965618323,74.28675168382304,324.4935660963671,2.9015432345374346
1,Wuhan-1 (D614G / ancestral),2020-05-22,18.27777777777778,1.0,22.72888264300818,0.1717122900776816,5764.565977435817,129.58313935580506,77.58954786423388,343.28615234579263,3.069582009997433
1,Wuhan-1 (D614G / ancestral),2020-05-23,18.88888888888889,1.0,23.679900500747213,0.17924636619544695,5735.94157305853,135.00513398373567,80.99387937299008,362.90876987137733,3.245042725013174
1,Wuhan-1 (D614G / ancestral),2020-05-24,19.38888888888889,0.0,24.654231850416803,0.18700200249991605,5706.221497748309,140.56004475722253,84.49832459348632,383.3863833053212,3.428148607306961
1,Wuhan-1 (D614G / ancestral),2020-05-25,18.77777777777778,0.0,25.65082488742429,0.19497485447519805,5675.388945260936,146.2418750708342,88.1009204220711,404.7435391123554,3.619119145448413
1,Wuhan-1 (D614G / ancestral),2020-05-26,19.555555555555557,0.0,26.668443916119866,0.2031592886549759,5643.4293014864315,152.0435799094635,91.79912133271216,427.0042274295791,3.818168853459588
1,Wuhan-1 (D614G / ancestral),2020-05-27,21.0,0.0,27.705660419807394,0.21154830302494643,5610.330382622468,157.95701493618827,95.5897634102135,450.191732112811,4.025505929965617
1,Wuhan-1 (D614G / ancestral),2020-05-28,23.055555555555557,0.0,28.76084583385651,0.2201334440003228,5576.082672975156,163.97289528994608,99.46902683584723,474.3284730623866,4.241330848309993
