wave,strain,date,obs_cases,obs_deaths,fit_int,S_int,E_int,I_int,R_int,D_int,fit_frac,alpha_k,S_frac,E_frac,I_frac,R_frac,D_frac
1,Wuhan-1 (D614G / ancestral),2020-04-15,0.0,0.0,0.062065674701642023,6121.734775030439,0.35385219328188194,28.22104881013749,0.0,0.0,0.062065686646600705,1.0,6121.734774468539,0.3538522613831287,28.221048750520623,0.0,0.0
1,Wuhan-1 (D614G / ancestral),2020-04-16,2.5,0.0,2.0203222197301756,6110.508190855005,11.518370694014697,21.23629739797677,6.984709580509016,0.062107506353343736,2.0203222254844384,1.0,6110.508190316455,11.518370726821212,21.236297365193696,6.984709565753842,0.062107506219684576
1,Wuhan-1 (D614G / ancestral),2020-04-17,5.0,0.0,3.1450173737864464,6102.075695579081,17.93054375020781,17.953900205237872,12.240693186508256,0.10884331282317825,3.1450173763018126,1.0,6102.075695053243,17.930543764548553,17.953900186396865,12.240693163639271,0.1088433126155226
1,Wuhan-1 (D614G / ancestral),2020-04-18,4.25,0.0,3.8421039035876303,6094.956410646565,21.904811308937482,16.615815211239727,16.684283487304622,0.1483553798114029,3.8421039043991376,1.0,6094.956410127926,21.904811313564093,16.615815199620265,16.684283459772487,0.14835537956071962
1,Wuhan-1 (D614G / ancestral),2020-04-19,5.0,0.0,4.322507193670683,6088.375405431216,24.643712620699475,16.308937575181268,20.796697752086448,0.1849226546756651,4.322507193578038,1.0,6088.375404916919,24.643712620171282,16.30893756727615,20.796697721678495,0.1849226543979635
1,Wuhan-1 (D614G / ancestral),2020-04-20,5.166666666666667,0.0,4.6961054755075855,6081.922919435739,26.773691422506218,16.559090805448736,24.833159801943804,0.2208145682215218,4.696105474927823,1.0,6081.9229189243115,26.773691419200844,16.559090799426308,24.833159769579336,0.22081456792500292
1,Wuhan-1 (D614G / ancestral),2020-04-21,5.0,0.0,5.020316266305845,6075.378405802886,28.622099579850914,17.120378868046252,28.93153477629236,0.25725700678303864,5.020316265456581,1.0,6075.378405293575,28.62209957500905,17.120378862949305,28.93153474243734,0.25725700647182403
1,Wuhan-1 (D614G / ancestral),2020-04-22,4.875,0.0,5.325292954684315,6068.6193398879,30.360849228530906,17.865723670585375,33.168828546133795,0.29493470070832173,5.325292953679181,1.0,6068.619339380328,30.360849222800383,17.865723665913364,33.16882851101728,0.2949347003843993
1,Wuhan-1 (D614G / ancestral),2020-04-23,5.0,0.0,5.627013478322971,6061.5738615076825,32.081034654064865,18.729932004423915,37.59059515460367,0.33425271308422533,5.62701347722137,1.0,6061.573861001664,32.08103464778436,18.72993199991493,37.59059511833083,0.33425271274846535
1,Wuhan-1 (D614G / ancestral),2020-04-24,6.6,2.0,5.934085646416701,6054.196151517993,33.83173116543163,19.680067391769175,42.22625332569858,0.37547263296702527,5.934085645249774,1.0,6054.196151013449,33.83173115877868,19.680067387286115,42.22625328830977,0.3754726326197113
1,Wuhan-1 (D614G / ancestral),2020-04-25,7.545454545454546,0.0,6.2512872533971855,6046.453618853443,35.64017818356438,20.700025427269274,47.09707000516144,0.41878356442076603,6.2512872521813705,1.0,6046.453618350345,35.64017817663271,20.700025422740424,47.09706996666308,0.4187835640618724
1,Wuhan-1 (D614G / ancestral),2020-04-26,8.083333333333334,0.0,6.581408024683407,6038.3202291411735,37.5222806424368,21.782500782117612,52.220326298410576,0.46433916972047706,6.5814080234275245,1.0,6038.32022863952,37.522280635276694,21.782500777505607,52.220326258791324,0.4643391693498142
1,Wuhan-1 (D614G / ancestral),2020-04-27,7.769230769230769,0.0,6.926207904076847,6029.7730293297545,39.48807242917249,22.92480199901717,57.61149524198468,0.5122770339302266,6.926207902785805,1.0,6029.773028829557,39.48807242181193,22.9248019943028,57.61149520122395,0.5122770335475172
1,Wuhan-1 (D614G / ancestral),2020-04-28,8.214285714285714,1.0,7.286915311633118,6020.790336775984,41.54455707886617,24.126669623381233,63.285383736741416,0.5627288188862716,7.2869153103098485,1.0,6020.790336277261,41.544557071321876,24.126669618555,63.28538369481389,0.5627288184911909
1,Wuhan-1 (D614G / ancestral),2020-04-29,8.133333333333333,1.0,7.664485786404549,6011.350796180591,43.69718236262575,25.389137406683894,69.25673446852826,0.6158256154298822,7.664485785051035,1.0,6011.350795683365,43.697182354909025,25.389137401741607,69.25673442540624,0.6158256150220794
1,Wuhan-1 (D614G / ancestral),2020-04-30,7.875,1.0,8.059735722863014,6001.432890003887,45.95060275292487,26.713936510931973,75.54054597668252,0.6717007894321009,8.059735721480823,1.0,6001.432889508178,45.950602745044655,26.713936505872475,75.54054593233727,0.6717007890112107
1,Wuhan-1 (D614G / ancestral),2020-05-01,8.823529411764707,0.0,8.473410905822213,5991.014686875327,48.309070158621566,28.103182220150643,82.15224526313817,0.7304915166207919,8.47341090441279,1.0,5991.014686381156,48.30907015058608,28.10318221497464,82.1522452175407,0.730491516186441
1,Wuhan-1 (D614G / ancestral),2020-05-02,9.333333333333334,0.0,8.906220919869279,5980.073716026249,50.77663010187736,29.55920741516875,89.10778286262544,0.7923396279376257,8.906220918434094,1.0,5980.073715533635,50.776630093695005,29.559207409878223,89.1077828157469,0.7923396274894368
1,Wuhan-1 (D614G / ancestral),2020-05-03,9.38888888888889,0.0,9.35885560522402,5968.586909671062,53.35721553719516,31.084472039306903,96.42368669787969,0.8573920884144997,9.358855603764669,1.0,5968.5869091800205,53.357215528875024,31.084472033904813,96.42368664969175,0.8573920879520938
1,Wuhan-1 (D614G / ancestral),2020-05-04,10.11111111111111,0.0,9.831991971449616,5956.530583334791,56.05468626824189,32.68151162641051,104.11709352760813,0.9258012768064665,9.831991969967861,1.0,5956.5305828453365,56.054686259794025,32.68151162090068,104.11709347808318,0.9258012763294654
1,Wuhan-1 (D614G / ancestral),2020-05-05,10.222222222222221,1.0,10.326295938957614,5943.880438754972,58.87283887661132,34.352905595182335,112.20576765514473,0.9977251519476711,10.326295937455425,1.0,5943.880438267116,58.872838868046955,34.3529055895694,112.20576760425608,0.9977251514556985
1,Wuhan-1 (D614G / ancestral),2020-05-06,11.055555555555555,0.0,10.842421173389186,5930.61158161629,61.815400076335216,36.10125520194901,120.70811178995234,1.0733273493310012,10.842421171868759,1.0,5930.611581130041,61.815400067666886,36.10125519623843,120.7081117376745,1.0733273488236847
1,Wuhan-1 (D614G / ancestral),2020-05-07,12.11111111111111,1.0,11.381006181876392,5916.6985503603055,64.88601015893047,37.92916583301957,129.6431724524347,1.152777229167264,11.381006180340174,1.0,5916.698549875667,64.8860101501721,37.92916582721764,129.6431723987435,1.1527772286442366
1,Wuhan-1 (D614G / ancestral),2020-05-08,12.166666666666666,1.0,11.942670269834958,5902.115354395313,68.08819994204659,39.83923081491665,139.03064099610702,1.2362498854742503,11.94267026828565,1.0,5902.115353912285,68.08819993321359,39.839230809030546,139.03064094097985,1.2362498849351518
1,Wuhan-1 (D614G / ancestral),2020-05-09,12.833333333333334,1.0,12.528008660798504,5886.835521121126,71.42536294639976,41.83401522399786,148.89085062279887,1.3239261195361447,12.528008659239088,1.0,5886.835520639704,71.42536293750914,41.83401521803568,148.89085056621488,1.3239261189806235
1,Wuhan-1 (D614G / ancestral),2020-05-10,13.444444444444445,3.0,13.137586928915443,5870.832151752705,74.90072365402199,43.91603885866111,159.24476939073833,1.4159923777319423,13.137586927349187,1.0,5870.832151272882,74.90072364509237,43.91603885263192,159.2447693326787,1.4159923771596572
1,Wuhan-1 (D614G / ancestral),2020-05-11,14.222222222222221,1.0,13.77193481591751,5854.0779862205845,78.51730225722648,46.08775789589997,170.11398900825694,1.5126406518899251,13.77193481434798,1.0,5854.077985742347,78.51730224827818,46.08775788981384,170.11398894870507,1.5126406513005475
1,Wuhan-1 (D614G / ancestral),2020-05-12,13.666666666666666,0.0,14.431539466157567,5836.5454775720555,82.27787608983799,48.3515449451994,181.52070908749215,1.6140683392727821,14.43153946458863,1.0,5836.545477095384,82.27787608089308,48.35154493906746,181.52070902643396,1.6140683386659975
1,Wuhan-1 (D614G / ancestral),2020-05-13,13.38888888888889,0.0,15.116838096262494,5818.206876360716,86.18493783502002,50.709667318026604,193.487716461429,1.7204780586663162,15.116838094698329,1.0,5818.206875885586,86.18493782610231,50.70966731186108,193.48771639885314,1.7204780580418266
1,Wuhan-1 (D614G / ancestral),2020-05-14,13.5,0.0,15.828210110487298,5799.03432552657,90.24065057290373,53.16426339309915,206.03835912264054,1.8320774186447075,15.828210108932398,1.0,5799.034325052951,90.24065056403886,53.164263386913404,206.03835905853873,1.8320774180022337
1,Wuhan-1 (D614G / ancestral),2020-05-15,14.333333333333334,0.0,16.565968674042207,5778.999966251004,94.44679973798304,55.71731699861752,219.19651431243256,1.9490787338216136,16.56596867250139,1.0,5778.999965778859,94.44679972919846,55.71731699242609,219.19651424679978,1.9490787331608972
1,Wuhan-1 (D614G / ancestral),2020-05-16,14.61111111111111,0.0,17.330351761951253,5758.076055228563,98.80474208638125,58.370629764600594,232.98655026959037,2.0716986847229366,17.330351760429654,1.0,5758.07605475785,98.80474207770624,58.370629758419206,232.9865502024252,2.071698684043743
1,Wuhan-1 (D614G / ancestral),2020-05-17,15.277777777777779,0.0,18.121512709088062,5736.235093733791,103.31535181920229,61.1257914277222,247.433281136329,2.200157916813962,18.121512707591133,1.0,5736.235093264459,103.31535181066792,61.12579142156779,247.43328106763394,2.200157916116082
1,Wuhan-1 (D614G / ancestral),2020-05-18,16.555555555555557,0.0,18.939510297259137,5713.449968777433,107.97896406647182,63.98414810108818,262.5619145146902,2.3346805741748287,18.93951029579264,1.0,5713.449968309425,107.97896405811095,63.98414809497892,262.56191444447194,2.334680573458082
1,Wuhan-1 (D614G / ancestral),2020-05-19,15.777777777777779,0.0,19.78429842721982,5689.694106541971,112.79531600467413,66.94676855415717,278.3979911697095,2.4754937633456766,19.784298425789817,1.0,5689.6941060752215,112.79531599652131,66.94676854811247,278.3979910979792,2.4754937626099136
1,Wuhan-1 (D614G / ancestral),2020-05-20,16.61111111111111,0.0,20.65571543711398,5664.941638160965,117.76348595846068,70.01440858460651,294.96731638686333,2.622826942962288,20.655715435726812,1.0,5664.941637695401,117.76348595055208,70.01440857864701,294.96731631363696,2.622826942207393
1,Wuhan-1 (D614G / ancestral),2020-05-21,17.61111111111111,0.0,21.553473143878545,5639.167577759401,122.88183092291088,73.18747360500963,312.29588251155343,2.776911234983073,21.553473142540827,1.0,5639.167577294942,122.88183091528421,73.18747359915714,312.2958824368521,2.776911234208966
1,Wuhan-1 (D614G / ancestral),2020-05-22,18.27777777777778,1.0,22.47714570050361,5612.348012502494,128.14792303593862,76.46597961305275,330.4097822287933,2.937978653578639,22.477145699222195,1.0,5612.348012039052,128.14792302863296,76.4659796073303,330.40978215264346,2.9379786527852794
1,Wuhan-1 (D614G / ancestral),2020-05-23,18.88888888888889,1.0,23.426158379511925,5584.4603042078725,133.55848563005674,79.84951276477796,349.3351121830238,3.10626124812652,23.42615837829389,1.0,5584.460303745351,133.5584856231124,79.84951275920965,349.33511210545765,3.1062612473139084
1,Wuhan-1 (D614G / ancestral),2020-05-24,19.38888888888889,0.0,24.399776411392438,5555.483301860969,139.1093295974485,83.33718782589722,369.09786659230633,3.2819901572366734,24.399776410245032,1.0,5555.483301399262,139.10932959090684,83.33718782050823,369.097866513362,3.2819901564048544
1,Wuhan-1 (D614G / ancestral),2020-05-25,18.77777777777778,0.0,25.397094025699822,5525.397564136535,144.79529091048946,86.92760583627815,389.72382057921584,3.465394571338656,25.39709402463044,1.0,5525.397563675531,144.79529090439263,86.92760583109465,389.72382049893776,3.4653945704877205
