date,obs_cases,obs_deaths,fit_cases,fit_deaths,prior_cases,S,E,I,R,D
2022-01-01,154.94444444444446,6.0,78.74502006811394,4.380923466793149,154.94444444397965,94386.70375519454,263.13925488505566,780.4097943385589,0.0,0.0
2022-01-02,151.16666666666666,6.0,130.91188811313228,3.6409308007823857,590.0204910634131,94104.93750971297,437.46330452247076,648.588837257053,235.2971822158058,3.965970709864491
2022-01-03,147.16666666666666,8.0,160.04325405842417,3.2979587731180477,1209.4230080754435,93860.77435838076,534.8104881538584,587.4924196633141,439.76325987704854,7.412278343168973
2022-01-04,142.0,5.0,177.38004906629928,3.1594771450853636,2217.707816713971,93633.44390001096,592.7442002352207,562.8235525461797,630.612086539037,10.629065086748632
2022-01-05,137.0,3.0,188.68272759741694,3.126571594006765,3643.073447928064,93412.29260922353,630.5139335378597,556.9618171051258,816.7185263907456,13.765918160883976
2022-01-06,132.05555555555554,7.0,196.90473230216193,3.1483796648624733,5112.3178479921435,93191.8452688723,657.9890956471153,560.8466674615468,1002.6715864426193,16.900185994567636
2022-01-07,126.94444444444444,8.0,203.55994405365013,3.1987176303710836,5915.01278822844,92969.28298866644,680.2285650113246,569.8137817258715,1190.8554152312365,20.072053783283028
2022-01-08,122.16666666666667,5.0,209.42331216355961,3.264081305390394,5704.4619044773535,92743.15246231918,699.8219604314261,581.4575487456985,1382.5182717940365,23.302561127820038
2022-01-09,117.38888888888889,8.0,214.8901994117854,3.33748249872571,4832.696759634915,92512.70458131436,718.0904507536636,594.5331047624189,1578.3218073254413,26.60286026227053
2022-01-10,113.05555555555556,6.0,220.16081183408613,3.4152815879872427,3809.0225775704057,92277.55533273252,735.7030569145671,608.392094016747,1778.6233467995144,29.97897395481086
2022-01-11,108.72222222222223,5.0,225.33490442441897,3.4955591457086848,2901.90073123602,92037.5119090409,752.9931264040254,622.6925931663594,1983.6209355169872,33.43424028987762
