param,fixed,prior_value,fit_value,delta_pct
β,false,0.400107332693448,0.5008951831697286,25.190203288088636
σ,true,0.36053350785340393,0.36053350785340393,0.0
γ,true,0.39351413612565384,0.39351413612565384,0.0
μ,false,0.00023221989528795782,0.0020928822333381816,801.2501804509297
E0,false,51.15875235623667,50.548775370592466,-1.192321856085744
I0,false,46.84346702478845,5.758815924918615e-11,-99.99999999987492
N_eff,false,200000.00000000006,31304.83345563472,-84.34758327218266
R0,false,1.0167546625712294,1.272877229014682,25.190203288126824
