param,prior_value,fit_value,delta_pct
β,1.2480666666666675,0.9604440293395913,-23.045454622649117
σ,0.21643870967741918,0.370062580559974,70.97800162989154
γ,0.2503129032258067,0.8603192017522533,243.69750446950047
μ,0.003064645161290323,0.026141711458944627,753.0094051063991
E0,100.64032927022443,126.73896770101257,25.932584501698084
I0,50.320164635112214,56.83331122586946,12.94341272129409
R0,4.986026092074005,1.11638102158293,-77.60980386048169
