param,fixed,prior_value,fit_value,delta_pct
β,false,1.2480666666666675,0.31252601816679915,-74.95918875854267
σ,true,0.21643870967741918,0.21643870967741918,0.0
γ,true,0.2503129032258067,0.2503129032258067,0.0
μ,false,0.003064645161290323,0.007565677105650939,146.86959520614872
E0,false,227.67543685243288,146.82363648495758,-35.51186789635054
I0,false,194.48360003191473,167.85110476358096,-13.693954278902305
N_eff,false,9271.65555555556,47160.383995044285,408.6511649668203
R0,false,4.986026092074005,1.2485413821630686,-74.95918875858769
