param,fixed,fit_value
β,false,0.31251040743891334
σ,true,0.21643870967741918
γ,true,0.2503129032258067
μ,false,0.007565786190590749
E0,false,146.8345460883446
I0,false,167.88558117610194
N_eff,false,47182.48012755252
R0,false,1.2484790173081826
