param,fixed,prior_value,fit_value,delta_pct
β,false,0.7249999999999998,0.2646919324406708,-63.49076793913024
σ,true,0.1753999999999999,0.1753999999999999,0.0
γ,true,0.24749999999999991,0.24749999999999991,0.0
μ,false,0.002500000000000001,0.0015424580720302236,-38.30167710347041
E0,false,147.91587482520342,139.0367966949462,-6.0027891805053635
I0,false,103.77777777736269,113.68149636150582,9.543197779190994
N_eff,false,742.1333333333333,199996.9572140252,26848.92524443383
R0,false,2.9292929292929295,1.06946235329564,-63.49076793919614
